"","id","length","fault"
"1",10,139.335559306976,"fault_1"
"2",17,64.6096511090329,"fault_2"
"3",2,45.3954570957377,"fault_3"
"4",20,78.4299844920872,"fault_4"
"5",21,93.0721523881188,"fault_5"
"6",23,240.159551826423,"fault_6"
"7",26,69.6954296242367,"fault_7"
"8",28,58.6517441448217,"fault_8"
"9",3,28.65019549686,"fault_9"
"10",30,234.289678232982,"fault_10"
"11",31,99.4372102227704,"fault_11"
"12",36,62.212195103948,"fault_12"
"13",4,70.6905110210421,"fault_13"
"14",40,67.1091404623517,"fault_14"
"15",41,50.9091091999912,"fault_15"
"16",42,7.63526986733524,"fault_16"
"17",43,55.7811626235495,"fault_17"
"18",44,48.8919162694373,"fault_18"
"19",45,48.8888713913906,"fault_19"
"20",46,38.3596528128747,"fault_20"
"21",47,3.82512491357184,"fault_21"
"22",48,9.59187189459918,"fault_22"
"23",49,32.8680217003941,"fault_23"
"24",50,6.39575393208286,"fault_24"
"25",51,1.46692110249723,"fault_25"
"26",52,10.6133696745651,"fault_26"
"27",53,13.3899595460228,"fault_27"
"28",54,28.7354379878876,"fault_28"
"29",55,20.3859080401614,"fault_29"
"30",56,6.58610533397032,"fault_30"
"31",57,119.489949014251,"fault_31"
"32",58,6.24735910444391,"fault_32"
"33",59,107.662393841774,"fault_33"
"34",60,25.3245145765221,"fault_34"
"35",61,8.92743345006818,"fault_35"
"36",62,2.07910100479735,"fault_36"
"37",63,21.3876524514199,"fault_37"
"38",64,15.2255824049798,"fault_38"
"39",65,72.9721221920061,"fault_39"
"40",66,0.708829166072086,"fault_40"
"41",67,2.67109076290918,"fault_41"
"42",68,0.397613103156388,"fault_42"
"43",69,6.4121069824256,"fault_43"
"44",70,81.5350097247603,"fault_44"
"45",71,11.9374584931491,"fault_45"
"46",72,34.796050115152,"fault_46"
"47",73,19.4520438796079,"fault_47"
"48",74,140.100474352973,"fault_48"
"49",75,176.463654901931,"fault_49"
"50",76,89.8355218642917,"fault_50"
